model,technique,task,metric,value
XGB,sb_anon_template6,pclass,f1-score,0.52
XGB,sb,avgpcon,MAE,36.2939
XGB,sb,avgpcon,R2 Score,0.0879
XGB,sb,duration,MAE,461.2847
XGB,sb,duration,R2 Score,-1.056
XGB,sb,ec,accuracy,0.79
XGB,sb,ec,precision,0.59
XGB,sb,ec,recall,0.53
XGB,sb,ec,f1-score,0.53
XGB,sb,pclass,accuracy,0.84
XGB,sb,pclass,precision,0.84
XGB,sb,pclass,recall,0.71
XGB,sb,pclass,f1-score,0.74
